iter	Passed	Remaining
584	1952	1384
585	1954	1380
586	1957	1377
587	1960	1373
588	1963	1369
589	1965	1365
590	1968	1362
591	1970	1358
592	1973	1354
593	1976	1350
594	1978	1346
595	1981	1342
596	1983	1338
597	1986	1335
598	1988	1331
599	1991	1327
600	1993	1323
601	1996	1319
602	1998	1315
603	2001	1311
604	2004	1308
605	2007	1305
606	2009	1301
607	2012	1297
608	2014	1293
609	2017	1289
610	2019	1286
611	2023	1282
612	2025	1279
613	2028	1275
614	2030	1271
615	2033	1267
616	2036	1263
617	2038	1260
618	2041	1256
619	2045	1253
620	2048	1249
621	2050	1246
622	2053	1242
623	2055	1238
624	2058	1234
625	2060	1231
626	2063	1227
627	2077	1230
628	2080	1227
629	2082	1223
630	2085	1219
631	2088	1215
632	2090	1212
633	2092	1208
634	2095	1204
635	2098	1201
636	2100	1197
637	2108	1196
638	2111	1192
639	2113	1188
640	2116	1185
641	2118	1181
642	2121	1177
643	2123	1174
644	2126	1170
645	2128	1166
646	2131	1162
647	2133	1159
648	2137	1155
649	2139	1152
650	2142	1148
651	2144	1144
652	2148	1141
653	2150	1137
654	2153	1134
655	2155	1130
656	2158	1126
657	2161	1123
658	2163	1119
659	2166	1115
660	2169	1112
661	2171	1108
662	2174	1105
663	2177	1101
664	2180	1098
665	2182	1094
666	2184	1090
667	2187	1087
668	2190	1083
669	2192	1080
670	2195	1076
671	2198	1073
672	2201	1069
673	2203	1065
674	2205	1062
675	2209	1058
676	2211	1055
677	2214	1051
678	2216	1047
679	2219	1044
680	2222	1040
681	2224	1037
682	2227	1033
683	2229	1030
684	2232	1026
685	2234	1022
686	2237	1019
687	2239	1015
688	2242	1012
689	2244	1008
690	2247	1004
691	2249	1001
692	2252	997
693	2254	994
694	2257	990
695	2259	987
696	2262	983
697	2264	979
698	2266	976
699	2269	972
700	2271	968
701	2274	965
702	2276	961
703	2279	958
704	2281	954
705	2284	951
706	2286	947
707	2289	944
708	2291	940
709	2294	937
710	2297	933
711	2299	930
712	2302	926
713	2304	922
714	2306	919
715	2309	916
716	2311	912
717	2313	908
718	2316	905
719	2319	901
720	2321	898
721	2323	894
722	2326	891
723	2329	887
724	2331	884
725	2334	880
726	2336	877
727	2339	874
728	2342	870
729	2344	867
730	2346	863
731	2360	864
732	2373	864
733	2376	861
734	2379	857
735	2382	854
736	2384	850
737	2387	847
738	2390	844
739	2392	840
740	2395	837
741	2398	833
742	2400	830
743	2403	826
744	2407	824
745	2410	820
746	2413	817
747	2416	814
748	2418	810
749	2421	807
750	2424	803
751	2427	800
752	2429	797
753	2432	793
754	2434	790
755	2437	786
756	2440	783
757	2443	780
758	2446	776
759	2449	773
760	2451	769
761	2455	766
762	2457	763
763	2460	759
764	2462	756
765	2465	753
766	2468	749
767	2471	746
768	2474	743
769	2476	739
770	2479	736
771	2482	733
772	2484	729
773	2487	726
774	2490	722
775	2492	719
776	2495	716
777	2497	712
778	2501	709
779	2504	706
780	2506	702
781	2510	699
782	2512	696
783	2515	693
784	2518	689
785	2521	686
786	2523	683
787	2527	679
788	2541	679
789	2543	676
790	2545	672
791	2548	669
792	2551	665
793	2553	662
794	2556	659
795	2558	655
796	2561	652
797	2564	649
798	2567	645
799	2570	642
800	2573	639
801	2575	635
802	2578	632
803	2580	629
804	2583	625
805	2585	622
806	2589	619
807	2591	615
808	2594	612
809	2596	609
810	2599	605
811	2601	602
812	2604	598
813	2606	595
814	2609	592
815	2611	588
816	2613	585
817	2617	582
818	2619	579
819	2622	575
820	2624	572
821	2627	568
822	2630	565
823	2632	562
824	2635	559
825	2638	555
826	2641	552
827	2644	549
828	2647	546
829	2652	543
830	2654	539
831	2657	536
832	2660	533
833	2663	530
834	2665	526
835	2668	523
836	2671	520
837	2673	516
838	2676	513
839	2679	510
840	2681	507
841	2684	503
842	2686	500
843	2690	497
844	2692	493
845	2694	490
846	2697	487
847	2700	483
848	2702	480
849	2704	477
850	2706	473
851	2710	470
852	2712	467
853	2714	464
854	2717	460
855	2721	457
856	2723	454
857	2726	451
858	2728	447
859	2731	444
860	2733	441
861	2735	437
862	2738	434
863	2740	431
864	2742	428
865	2745	424
866	2748	421
867	2750	418
868	2753	415
869	2755	411
870	2758	408
871	2761	405
872	2763	402
873	2766	398
874	2769	395
875	2771	392
876	2774	389
877	2777	385
878	2779	382
879	2781	379
880	2784	376
881	2800	374
882	2804	371
883	2806	368
884	2809	365
885	2811	361
886	2814	358
887	2816	355
888	2819	352
889	2821	348
890	2824	345
891	2826	342
892	2828	338
893	2831	335
894	2833	332
895	2836	329
896	2839	326
897	2841	322
898	2843	319
899	2845	316
900	2847	312
901	2850	309
902	2852	306
903	2855	303
904	2857	299
905	2860	296
906	2862	293
907	2864	290
908	2869	287
909	2872	284
910	2874	280
911	2876	277
912	2878	274
913	2881	271
914	2882	267
915	2885	264
916	2888	261
917	2890	258
918	2892	254
919	2895	251
920	2897	248
921	2900	245
922	2902	242
923	2906	239
924	2908	235
925	2911	232
926	2913	229
927	2916	226
928	2918	223
929	2920	219
930	2922	216
931	2925	213
932	2927	210
933	2930	207
934	2932	203
935	2934	200
936	2937	197
937	2939	194
938	2941	191
939	2943	187
940	2946	184
941	2948	181
942	2951	178
943	2953	175
944	2955	172
945	2957	168
946	2960	165
947	2961	162
948	2963	159
949	2966	156
950	2968	152
951	2970	149
952	2972	146
953	2975	143
954	2978	140
955	2980	137
956	2982	133
957	2984	130
958	2987	127
959	2990	124
960	2993	121
961	2995	118
962	2998	115
963	3001	112
964	3003	108
965	3005	105
966	3008	102
967	3011	99
968	3013	96
969	3016	93
970	3018	90
971	3020	87
972	3022	83
973	3024	80
974	3026	77
975	3029	74
976	3031	71
977	3033	68
978	3035	65
979	3038	62
980	3040	58
981	3042	55
982	3044	52
983	3047	49
984	3049	46
985	3052	43
986	3054	40
987	3056	37
988	3058	34
989	3061	30
990	3063	27
991	3065	24
992	3067	21
993	3069	18
994	3071	15
995	3074	12
996	3076	9
997	3079	6
998	3081	3
999	3084	0
