iter	RMSE
232	0.2964261731
233	0.2959992412
234	0.2948628202
235	0.2944816248
236	0.2942089071
237	0.293552402
238	0.2927452805
239	0.2923250104
240	0.2917009665
241	0.2909101859
242	0.2907310687
243	0.2903943944
244	0.2901722287
245	0.289690998
246	0.2892907956
247	0.2891360879
248	0.2887607373
249	0.2885052943
250	0.2878699989
251	0.2870525236
252	0.2866297474
253	0.2860424098
254	0.2854934461
255	0.2845725413
256	0.2841084207
257	0.2836465751
258	0.2835454171
259	0.2830405503
260	0.2825062427
261	0.2819685527
262	0.2810372276
263	0.2803940545
264	0.2800859364
265	0.2795725911
266	0.2792012266
267	0.2788168315
268	0.2779383246
269	0.2772864345
270	0.2768167143
271	0.2764310705
272	0.2756592594
273	0.2752166961
274	0.2748000849
275	0.2741152886
276	0.2734414757
277	0.2729751999
278	0.2720961014
279	0.2717506681
280	0.271475698
281	0.2711837877
282	0.2707439786
283	0.2706261122
284	0.2702813361
285	0.2701335022
286	0.2693967376
287	0.2690535719
288	0.2684813209
289	0.2676542622
290	0.267476277
291	0.2671369046
292	0.2667800948
293	0.2663552181
294	0.2658923697
295	0.2652089871
296	0.2646397574
297	0.2643480566
298	0.2639309309
299	0.2634820212
300	0.2632524886
301	0.2627869156
302	0.2623448886
303	0.2621895765
304	0.2618222595
305	0.2615925637
306	0.2609711467
307	0.2605645569
308	0.2597677314
309	0.259077182
310	0.2589782951
311	0.2584170206
312	0.2581851145
313	0.2575115123
314	0.2568749716
315	0.2565104387
316	0.2558186321
317	0.2552227923
318	0.2546347282
319	0.2544798104
320	0.2541747629
321	0.253981491
322	0.2532698991
323	0.2530833843
324	0.2528925944
325	0.2523531943
326	0.2518731683
327	0.2512899232
328	0.2505773244
329	0.2496391074
330	0.2491379701
331	0.2482533168
332	0.2479711569
333	0.2477896831
334	0.2474969267
335	0.2470957765
336	0.2465215848
337	0.2459542292
338	0.2454802393
339	0.2451550893
340	0.2446253751
341	0.2444054221
342	0.2441316499
343	0.2435068857
344	0.2431763576
345	0.2425814521
346	0.2422342222
347	0.2414125858
348	0.2409891742
349	0.2405004273
350	0.2401751264
351	0.2397844844
352	0.2394783045
353	0.2391746116
354	0.2390345056
355	0.2385901554
356	0.2382459893
357	0.2376379926
358	0.2370988399
359	0.2367249736
360	0.2365855696
361	0.2364592285
362	0.2358844652
363	0.2354286811
364	0.234987691
365	0.2346961689
366	0.2343594183
367	0.2338414178
368	0.2336653041
369	0.2331849219
370	0.2328676782
371	0.2323591079
372	0.2321920997
373	0.2316897387
374	0.2312811835
375	0.2308188023
376	0.2304013667
377	0.2300565239
378	0.2293719186
379	0.2290623243
380	0.22853649
381	0.2279906845
382	0.2276323306
383	0.2271886653
384	0.2270604193
385	0.2266015799
386	0.2262946889
387	0.225885292
388	0.2255416193
389	0.2252836577
390	0.224645655
391	0.224375307
392	0.2242216036
393	0.2239670624
394	0.2235970036
395	0.223397807
396	0.2230000748
397	0.2225522588
398	0.2223439457
399	0.2216481419
400	0.2210631044
401	0.2202369032
402	0.2199452567
403	0.2196702117
404	0.219177865
405	0.2188610009
406	0.2184408361
407	0.2182459405
408	0.217927275
409	0.2178261413
410	0.217273612
411	0.2169551362
412	0.2166707642
413	0.2162599354
414	0.2161281244
415	0.2159528405
416	0.2155833424
417	0.2152317708
418	0.2151387321
419	0.2147490042
420	0.2144174817
421	0.2138909692
422	0.2135960013
423	0.2133486899
424	0.2132398437
425	0.2127660136
426	0.2122381823
427	0.2118207284
428	0.2116668297
429	0.2111651439
430	0.2107560113
431	0.2103329382
432	0.2099156591
433	0.2096456193
434	0.2090670032
435	0.2087880839
436	0.208277236
437	0.2079470364
438	0.2073497885
439	0.2072564929
440	0.2069799037
441	0.2068258814
442	0.2067190529
443	0.2063362665
444	0.2061725534
445	0.2060185827
446	0.2055116275
447	0.2050587315
448	0.2046974926
449	0.2045412484
450	0.2041505723
451	0.204016861
452	0.2033155441
453	0.2030256787
454	0.2027766549
455	0.2024402714
456	0.2022602978
457	0.202161035
458	0.2018811166
459	0.201736823
460	0.2014577607
461	0.2011869886
462	0.2006940241
463	0.2005977868
464	0.200228741
465	0.1997995613
466	0.1994731047
467	0.1991540613
468	0.1987290301
469	0.1986333144
470	0.1982313856
471	0.1979485775
472	0.1975717081
473	0.1971462775
474	0.1965102549
475	0.1964671263
476	0.1960009193
477	0.1957629644
478	0.1954912904
479	0.1949793398
480	0.194855192
481	0.1947739216
482	0.1946179742
483	0.194182803
484	0.1938394133
485	0.1936709506
486	0.1934555875
487	0.1930715416
488	0.1928522503
489	0.1924196784
490	0.1919397039
491	0.1916451793
492	0.1915145077
493	0.1914354737
494	0.1911298583
495	0.1907466307
496	0.1904082472
497	0.1901862398
498	0.1897625211
499	0.1893970825
500	0.1893032698
501	0.1892284039
502	0.1891588938
503	0.1888220962
504	0.1886763557
505	0.188301235
506	0.1880490849
507	0.1878359364
508	0.1877571992
509	0.1875392334
510	0.1870442362
511	0.186800533
512	0.1865748446
513	0.1862355123
514	0.1860012195
515	0.185743338
516	0.1855860597
517	0.1853553927
518	0.1852840125
519	0.185154492
520	0.1849561291
521	0.1845923894
522	0.1844582787
523	0.1842454246
524	0.1837714389
525	0.183662665
526	0.1831649501
527	0.1830096825
528	0.1825924416
529	0.1823803759
530	0.1822588644
531	0.1820211796
532	0.1817891295
533	0.1816545206
534	0.1814128382
535	0.1811450517
536	0.1809826338
537	0.1807997729
538	0.1807559428
539	0.180519121
540	0.1803529468
541	0.1801006793
542	0.1797615664
543	0.179607725
544	0.1794281565
545	0.1791650265
546	0.1788430244
547	0.178535226
548	0.1782210419
549	0.1780109817
550	0.1774825287
551	0.1769836087
552	0.1767453357
553	0.1764522817
554	0.1763708646
555	0.1762165716
556	0.1758297492
557	0.1757836185
558	0.1755377145
559	0.1752268959
560	0.1750438504
561	0.1748559176
562	0.1747177806
563	0.1746027091
564	0.1744116984
565	0.1741498164
566	0.1740128295
567	0.173901902
568	0.1738262131
569	0.1736050185
570	0.1734191668
571	0.1733131781
572	0.1731068944
573	0.1727379006
574	0.1726214226
575	0.1723272957
576	0.1722652241
577	0.1719738605
578	0.1718418724
579	0.1715884442
580	0.1711440548
581	0.1709058797
582	0.170797483
583	0.170689054
584	0.1704701597
585	0.1702612307
586	0.1700697206
587	0.1699701881
588	0.1699137526
589	0.1692811574
590	0.1691234019
591	0.1690662399
592	0.168940842
593	0.1686779693
594	0.1685687316
595	0.168415734
596	0.1682952605
597	0.1681343183
598	0.1680770284
599	0.1678495454
600	0.1676338076
601	0.1673521988
602	0.1670922751
603	0.1670117979
604	0.1668480895
605	0.1665983354
606	0.166243428
607	0.16596301
608	0.1657830179
609	0.1657249463
610	0.1656403953
611	0.1655042602
612	0.1650894984
613	0.1649100041
614	0.1645752586
615	0.1644893374
616	0.164318305
617	0.164137885
618	0.1640016355
619	0.1638433551
620	0.1634936745
621	0.1633964431
622	0.1632945411
623	0.1629060579
624	0.1627550559
625	0.162403206
626	0.1620711103
627	0.1618609133
628	0.1614836253
629	0.1613676564
630	0.1608563045
631	0.1607972048
632	0.1606913471
633	0.1606126122
634	0.160540208
635	0.1602116527
636	0.1598583219
637	0.1596052764
638	0.1594980364
639	0.1593805455
640	0.1590504362
641	0.1590015722
642	0.1588783083
643	0.1585363185
644	0.1583347917
645	0.1580471687
646	0.1579734932
647	0.1577232201
648	0.1575257463
649	0.1574090024
650	0.1571593167
651	0.1569282604
652	0.156769199
653	0.1565825268
654	0.1561954383
655	0.156124804
656	0.1557557898
657	0.1555187906
658	0.1552977974
659	0.1552688789
660	0.1550943951
661	0.1548457529
662	0.1548052722
663	0.1547408782
664	0.1545514606
665	0.1543153107
666	0.1541748775
667	0.1540833754
668	0.1537263811
669	0.1534820832
670	0.1531258913
671	0.1530638558
672	0.1526174012
673	0.1524268573
674	0.1523254123
675	0.15199259
676	0.1516823828
677	0.151540333
678	0.1514230521
679	0.1513420305
680	0.1511876999
681	0.1510517025
682	0.1508171657
683	0.1506979029
684	0.1502909028
685	0.1501329317
686	0.14987245
687	0.1497821869
688	0.1494216298
689	0.1491887428
690	0.1489566746
691	0.1489076159
692	0.1487797185
693	0.1484914843
694	0.1482901656
695	0.1480785621
696	0.1479019742
697	0.1476170082
698	0.147407501
699	0.1472843422
700	0.1470756916
701	0.1468055839
702	0.1465382247
703	0.1464415285
704	0.1462078043
705	0.146020112
706	0.1458764149
707	0.1456050853
708	0.1453694847
709	0.1452487119
710	0.1451110398
711	0.144887073
712	0.144639391
713	0.1445127204
714	0.144394454
715	0.1442959224
716	0.1441815676
717	0.1441541843
718	0.1440484324
719	0.1437031146
720	0.143597664
721	0.1435065829
722	0.1432728953
723	0.1429438067
724	0.1426604118
725	0.1425144323
726	0.142377934
727	0.1421811725
728	0.1420354215
729	0.1419697458
730	0.1418624378
731	0.14166485
732	0.1415542598
733	0.1415315677
734	0.1412774252
735	0.1411995524
736	0.1408663734
737	0.1406349138
738	0.1404171143
739	0.1400751307
740	0.1399044113
741	0.1397686663
742	0.1397381496
743	0.1395148463
744	0.139415417
745	0.1392936087
746	0.1392248132
747	0.1388908237
748	0.138820977
749	0.1385169248
750	0.1383092894
751	0.138125991
752	0.1380011039
753	0.1377493162
754	0.1376116675
755	0.1373893441
756	0.1371481018
757	0.1369741231
758	0.1369038297
759	0.1366655332
760	0.1365939422
761	0.136369915
762	0.1361809587
763	0.1360195006
764	0.135872128
765	0.1356131155
766	0.1354051947
767	0.1351692047
768	0.1350473914
769	0.1349843966
770	0.1348249625
771	0.1346597409
772	0.1343981405
773	0.13420037
774	0.1339455044
775	0.1338225862
776	0.1337090201
777	0.1334916619
778	0.1333412652
779	0.1332331769
780	0.1331472734
781	0.1330146941
782	0.1327633072
783	0.1327028503
784	0.1325836494
785	0.1323776844
786	0.132192097
787	0.1319129963
788	0.1317595765
789	0.1316947016
790	0.13167763
791	0.1315977192
792	0.1314380476
793	0.1311582802
794	0.1310189309
795	0.1308758196
796	0.1306285215
797	0.1304366126
798	0.1302057948
799	0.1300773482
800	0.1298944021
801	0.1296633454
802	0.1294895382
803	0.1293169236
804	0.1291794357
805	0.129139414
806	0.1289470561
807	0.1286538142
808	0.1286027683
809	0.1284300979
810	0.1283935361
811	0.1282979496
812	0.1281213698
813	0.1280549286
814	0.1279613958
815	0.1277071052
816	0.1274552407
817	0.1271220693
818	0.1270023455
819	0.126913363
820	0.1268651314
821	0.1265828397
822	0.1264141147
823	0.1263073626
824	0.1260133674
825	0.1256551209
826	0.1255616023
827	0.1252283938
828	0.1251652552
829	0.1250207856
830	0.1249189459
831	0.1247596684
832	0.1245775736
833	0.1244228105
834	0.1241972364
835	0.1241559745
836	0.1240258238
837	0.1239714243
838	0.1238878063
839	0.1238038049
840	0.123693189
841	0.1235359457
842	0.123468462
843	0.1231804122
844	0.1231163485
845	0.123009648
846	0.1228624247
847	0.1227990062
848	0.1225524852
849	0.1224046018
850	0.1223359771
851	0.1221621812
852	0.1219677253
853	0.1217379499
854	0.1215320551
855	0.1214546665
856	0.1211853969
857	0.1211376824
858	0.1209612912
859	0.1208910899
860	0.1208079065
861	0.1206889876
862	0.120631215
863	0.1206128395
864	0.120421383
865	0.1202170356
866	0.11992504
867	0.119707056
868	0.1196730908
869	0.1195379075
870	0.1193794517
871	0.1192991927
872	0.1191526673
873	0.1190995262
874	0.1189349829
875	0.1187671865
876	0.1187014214
877	0.1185631902
878	0.1185324007
879	0.1184401649
880	0.1182034324
881	0.1179738202
882	0.1178665573
883	0.1176822545
884	0.1175977613
885	0.1174610071
886	0.117408393
887	0.117327884
888	0.1170574144
889	0.1170355548
890	0.1169989901
891	0.1168551482
892	0.1167269175
893	0.1165216444
894	0.1162793189
895	0.1161923765
896	0.1161085442
897	0.1159213208
898	0.1158986989
899	0.1157174117
900	0.1156444477
901	0.1155431455
902	0.1153067777
903	0.1152139981
904	0.1151519045
905	0.1150070296
906	0.1149490027
907	0.114878923
908	0.1147485693
909	0.114485543
910	0.1144610827
911	0.1143645942
912	0.1141125879
913	0.1140738305
914	0.1140096531
915	0.1138216545
916	0.1136400645
917	0.1135066122
918	0.1132808739
919	0.1131368387
920	0.1128861702
921	0.1127849066
922	0.1127278019
923	0.1126794473
924	0.1125592267
925	0.1124258066
926	0.1123788432
927	0.1121985237
928	0.1119415288
929	0.111852366
930	0.1118322765
931	0.1116731981
932	0.111625464
933	0.1115803484
934	0.1115254777
935	0.1112976396
936	0.1112493521
937	0.111147554
938	0.11091093
939	0.1107696487
940	0.1106664556
941	0.1104834274
942	0.1103122431
943	0.1102942875
944	0.1102684444
945	0.1100966125
946	0.1098945051
947	0.1098761893
948	0.1096580149
949	0.1094222741
950	0.1093320649
951	0.1092240652
952	0.1090460984
953	0.1087857508
954	0.108643439
955	0.1085505479
956	0.1083892983
957	0.108248148
958	0.1081878249
959	0.1081000019
960	0.1080057578
961	0.1079070963
962	0.1077883473
963	0.1077100015
964	0.1075780297
965	0.1074949163
966	0.1073476315
967	0.107232929
968	0.1071770247
969	0.1071312315
970	0.1069999475
971	0.1068896542
972	0.1068658563
973	0.1067254504
974	0.1066609948
975	0.1065378113
976	0.106280985
977	0.1060422469
978	0.105945136
979	0.1059080468
980	0.1058055646
981	0.1057330333
982	0.105616533
983	0.1053890087
984	0.1053234507
985	0.1050305119
986	0.1049159773
987	0.1047290799
988	0.1044694995
989	0.1043625906
990	0.104257117
991	0.1040579161
992	0.1039881328
993	0.1039149406
994	0.1037933126
995	0.1035640126
996	0.1033505142
997	0.10321903
998	0.1030228768
999	0.1029408831
